Batch No.,AC Mooney,Ash%,C.B.%,A.E.%,V.M.%,RHC,Sp.Gravity,Mv,TS,EB,Hardness
SB40624,52.0,6.145833333333264,30.625000000000078,7.148726376335237,0.19588638589621074,55.884553904435215,1.152,34.5,83.65697513714385,489.5,50.0
SB40621,62.0,6.117908787541675,30.367074527252438,7.021276595744573,0.09310986964616395,56.40063021981515,1.152,44.4,90.51671728884826,503.0,51.0
SB40618,60.0,5.594405594405514,30.369630369630414,7.079646017699037,0.17406440382944408,56.7822536144356,1.15,38.9,88.64999214321112,495.0,51.0
SB40615,65.0,5.842911877394628,30.07662835249041,8.130081300813181,0.18018018018020832,55.77019828912157,1.153,37.1,89.64199357808424,489.5,51.0
SB40605,56.0,6.822612085769999,29.434697855750578,7.482993197278735,0.18518518518521412,56.074511676015476,1.156,42.7,77.65738708312205,528.5,51.0
SB40599,57.0,5.588235294117677,30.294117647058886,7.858455882352905,0.18148820326681603,56.077702973203714,1.148,43.3,88.82908027644869,503.0,51.0
SB40596,58.0,5.538771399798559,29.909365558912437,7.4712643678160315,0.19801980198022895,56.88257887149274,1.15,41.6,87.12439064983035,500.5,50.0
SB40592,58.0,4.93583415597243,30.207305034550757,7.197696737044092,0.18018018018014437,57.47898389225258,1.153,44.3,76.69451071413948,489.5,51.0
SB40589,61.0,5.9003051881993684,30.315361139369266,7.755102040816247,0.19860973187689301,55.830621899738226,1.152,37.7,81.86533348606088,512.0,49.0
SB40585,48.0,5.532786885245924,30.32786885245892,7.042253521126615,0.19782393669637113,56.89926680447216,1.151,40.6,86.90120868932529,504.5,51.0
SB40582,58.0,6.203995793901077,29.232386961093617,7.743785850860379,0.19743336623892518,56.622398027906,1.156,44.1,93.23723132859314,489.5,52.0
SB40579,52.0,6.482465462274166,29.755579171094485,6.161137440758256,0.18518518518521412,57.41563274068788,1.151,47.4,94.09010753356283,513.5,49.0
SB40578,56.0,5.614035087719093,30.643274853801206,6.376518218623367,0.19920318725102712,57.166968652605306,1.215,38.6,95.95117335202144,506.0,50.0
SB40575,47.0,6.4210526315789345,29.999999999999982,6.931702344546512,0.1974333662388551,56.44981165763572,1.149,37.6,89.51431150902444,518.0,50.0
SB40572,63.0,5.588585017835774,30.08323424494653,7.056798623063731,0.19685039370074833,57.074531720453216,1.149,44.0,96.60062376805496,523.5,52.0
