S/N,Autoclave,Form Filled By,Form Filled At,Machine Idle,Batch ID,BT- Recipe,Shift,Supervisor,Operator,Batch Start Time (HH:MM),Loading Temp (°C),Loading Pressure (kg/cm2),Loading Time (HH:MM),Loading Duration (HH:MM),Close Top Door Temp (°C),Close Top Door Pressure (kg/cm2),Close Top Door Time (HH:MM),Heat Valve Open Temp (°C),Heat Valve Open Pressure (kg/cm2),Heat Valve Open Time (HH:MM),Steam Valve Open Temp (°C),Steam Valve Open Pressure (kg/cm2),Steam Valve Open Time (HH:MM),Steam Valve Close Temp (°C),Steam Valve Close Pressure (kg/cm2),Steam Valve Close Time (HH:MM),Heat Valve Close Temp (°C),Heat Valve Close Pressure (kg/cm2),Heat Valve Close Time (HH:MM),Low TF Temp Duration(Mins) (Below 260°C),Cooking Start Time (HH:MM),Cooking Stop Time (HH:MM),Cooking Duration (HH:MM),Discharge Valve Open Temp (°C),Discharge Valve Open Pressure (kg/cm2),Discharge Valve Open Time (HH:MM),Discharge Start Time (HH:MM),Discharge Stop Time (HH:MM),Discharge Duration (HH:MM),Cooling Valve Open Temp(°C),Cooling Valve Open Pressure (kg/cm2),Cooling Valve Open Time (HH:MM),Cooling Valve Close Temp(°C),Cooling Valve Close Pressure (kg/cm2),Cooling Valve Close Time (HH:MM),Cooling Duration (HH:MM),Waiting Temp(°C),Waiting Pressure (kg/cm2),Waiting Time (HH:MM),Top door ( sample collect ) Temp(°C),Top door ( sample collect ) Pressure (kg/cm2),Top door ( sample collect ) Time (HH:MM),Sampling End Time (HH:MM),Sampling Duration (HH:MM),Bottom Door Open Temp(°C),Bottom Door Open Pressure (kg/cm2),Bottom Door Open Time (HH:MM),Unload Complete Temp(°C),Unload Complete Pressure (kg/cm2),Unload Complete Time (HH:MM),Unloading Duration (HH:MM),Bottom Door Close Temp(°C),Bottom Door Close Pressure (kg/cm2),Bottom Door Close Time (HH:MM),Comment,Customer,Batch kWh,Standard Batch Duration(Hrs),Actual Batch Duration (Mins),Batch End Time (HH:MM)
1,AC10,operator5_sl02@grpweb.com,2026-03-07 18:40:55.217,No,BT-040624-0,BT- Recipe1,Shift 2,Gadagi,Dhasade,12:50,112,0.06,12:51,01:52:00,107,0.09,13:11,100,0.1,13:15,101,0.72,13:41,123,4.36,13:52,221,6.35,17:12,172,13:15,17:11,03:55:00,0,0,0:0,0:0,0:0,00:00:00,210,0.32,17:16,106,0.05,13:13,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,112,0.25,18:6,110,0.2,18:34,00:28:00,110,0.2,18:34,,Pirelli,,5,343,18:34
2,AC10,operator5_sl02@grpweb.com,2026-03-07 12:52:38.289,No,BT-040621-0,BT- Recipe1,Shift 1,Kamlakar,Dixit,6:33,101,0.08,6:33,01:41:00,96,0.09,6:48,94,0.04,6:50,93,0.42,7:17,124,4.26,7:34,218,13.97,11:12,260,6:50,11:11,04:20:00,0,0,0:0,0:0,0:0,00:00:00,204,0.41,11:17,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.1,12:7,101,0.1,12:7,00:00:00,101,0.1,12:7,,Pirelli,,5,333,12:7
3,AC10,operator5_sl02@grpweb.com,2026-03-07 06:36:29.743,No,BT-040618-0,BT- Recipe1,Shift 3,Tikore,Methre,0:10,118,0.12,0:14,01:58:00,107,0.07,0:34,107,0.06,0:35,99,0.47,1:4,130,5.23,1:14,222,14.51,4:54,257,0:35,4:53,04:17:00,0,0,0:0,0:0,0:0,00:00:00,218,2.67,4:56,99,0.07,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.07,5:41,98,0.08,6:31,00:49:00,98,0.08,6:31,,Pirelli,,5,380,6:31
4,AC10,operator5_sl02@grpweb.com,2026-03-06 22:55:49.597,No,BT-040615-0,BT- Recipe1,Shift 2,Gadagi,Dhasade,16:50,109,0.12,22:50,01:49:00,109,0.12,22:50,97,0.09,17:14,104,0.51,17:41,136,5.36,17:58,224,15.0,21:15,229,17:14,21:14,03:59:00,0,0,0:0,0:0,0:0,00:00:00,219,2.01,21:18,97,0.13,17:15,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,113,0.08,22:23,109,0.12,22:50,00:26:00,109,0.12,22:50,,Pirelli,,5,359,22:50
5,AC10,operator5_sl02@grpweb.com,2026-03-06 02:02:13.545,No,BT-040605-0,BT- Recipe1,Shift 3,Tikore,Methre,19:53,0,0.0,0:0,00:00:00,115,0.32,20:9,113,0.27,20:10,106,0.31,20:37,142,7.49,20:51,221,14.81,0:3,231,20:10,0:2,03:51:00,0,0,0:0,0:0,0:0,00:00:00,214,2.16,0:5,112,0.08,1:57,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,104,0.07,1:23,111,0.1,1:56,00:33:00,111,0.1,1:56,,Pirelli,,5,363,1:56
6,AC10,operator5_sl02@grpweb.com,2026-03-05 13:32:37.331,No,BT-040599-0,BT- Recipe1,Shift 1,Rangrez,Dixit,7:9,104,0.04,7:25,01:44:00,104,0.08,7:27,103,0.02,7:30,101,0.41,8:13,134,5.69,8:23,220,15.05,11:56,264,7:30,11:55,04:24:00,0,0,0:0,0:0,0:0,00:00:00,202,0.46,12:2,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,100,0.06,13:0,103,0.06,13:28,00:27:00,103,0.06,13:28,,Pirelli,,5,377,13:28
7,AC10,operator5_sl02@grpweb.com,2026-03-05 06:54:21.661,No,BT-040596-0,BT- Recipe1,Shift 3,Tikore,shinde,0:45,0,0.0,0:0,00:00:00,0,0.0,0:0,0,0.0,0:0,98,0.12,1:13,143,5.55,1:49,223,13.21,5:11,265,0:0,5:10,04:25:00,0,0,0:0,0:0,0:0,00:00:00,222,13.25,5:11,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,106,0.31,6:17,99,0.12,6:50,00:33:00,99,0.12,6:50,,Pirelli,,5,364,6:50
8,AC10,operator5_sl02@grpweb.com,2026-03-05 00:27:22.809,No,BT-040592-0,BT- Recipe1,Shift 3,Tikore,shinde,17:19,119,0.08,17:20,01:59:00,108,0.09,17:32,106,0.11,17:41,102,0.14,18:9,132,5.36,18:27,221,15.7,22:3,260,17:41,22:2,04:20:00,0,0,0:0,0:0,0:0,00:00:00,203,0.21,22:13,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,114,0.17,23:37,101,0.18,0:19,00:41:00,101,0.18,0:19,,Pirelli,,5,419,0:19
9,AC10,operator5_sl02@grpweb.com,2026-03-04 17:20:06.279,No,BT-040589-0,BT- Recipe1,Shift 2,Gadagi,Dixit,10:20,0,0.0,0:0,00:00:00,116,0.07,10:56,116,0.1,10:57,99,0.07,11:24,136,6.43,11:35,220,13.89,15:10,251,10:57,15:9,04:11:00,0,0,0:0,0:0,0:0,00:00:00,212,0.64,15:16,116,0.11,10:58,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,108,0.12,16:36,112,0.02,17:14,00:38:00,112,0.02,17:14,,Pirelli,,5,414,17:14
10,AC10,operator5_sl02@grpweb.com,2026-03-04 09:49:54.335,No,BT-040585-0,BT- Recipe1,Shift 1,Rangrez,Dhasade,3:54,0,0.0,0:0,00:00:00,0,0.0,0:0,0,0.0,0:0,100,0.11,4:22,125,4.32,4:31,223,13.96,8:3,247,0:0,8:2,04:07:00,0,0,0:0,0:0,0:0,00:00:00,213,0.66,8:9,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,105,0.14,9:0,111,0.14,9:43,00:42:00,111,0.14,9:43,,Pirelli,,5,348,9:43
