Batch No.,AC Mooney,Ash%,C.B.%,A.E.%,V.M.%,RHC,Sp.Gravity,Mv,TS,EB,Hardness,Success % off all parameters average
SB40624,52.0,6.145833333333264,30.62500000000008,7.148726376335237,0.1958863858962107,55.88455390443522,1.152,34.5,83.65697513714385,489.5,50.0,100.0%
SB40621,62.0,6.117908787541675,30.36707452725244,7.021276595744573,0.09310986964616395,56.40063021981515,1.152,44.4,90.51671728884826,503.0,51.0,90.9%
SB40618,60.0,5.594405594405514,30.36963036963041,7.079646017699037,0.1740644038294441,56.7822536144356,1.15,38.9,88.64999214321112,495.0,51.0,100.0%
SB40615,65.0,5.842911877394628,30.07662835249041,8.130081300813181,0.1801801801802083,55.77019828912157,1.153,37.1,89.64199357808424,489.5,51.0,90.9%
SB40605,56.0,6.822612085769999,29.43469785575058,7.482993197278735,0.1851851851852141,56.07451167601548,1.156,42.7,77.65738708312205,528.5,51.0,100.0%
SB40599,57.0,5.588235294117677,30.29411764705889,7.858455882352905,0.181488203266816,56.07770297320371,1.148,43.3,88.82908027644869,503.0,51.0,100.0%
SB40596,58.0,5.538771399798559,29.90936555891244,7.471264367816032,0.1980198019802289,56.88257887149274,1.15,41.6,87.12439064983035,500.5,50.0,100.0%
SB40592,58.0,4.93583415597243,30.20730503455076,7.197696737044092,0.1801801801801444,57.47898389225258,1.153,44.3,76.69451071413948,489.5,51.0,100.0%
SB40589,61.0,5.900305188199368,30.31536113936927,7.755102040816247,0.198609731876893,55.83062189973823,1.152,37.7,81.86533348606088,512.0,49.0,90.9%
SB40585,48.0,5.532786885245924,30.32786885245892,7.042253521126615,0.1978239366963711,56.89926680447216,1.151,40.6,86.90120868932529,504.5,51.0,90.9%
SB40582,58.0,6.203995793901077,29.23238696109362,7.743785850860379,0.1974333662389252,56.622398027906,1.156,44.1,93.23723132859314,489.5,52.0,100.0%
SB40579,52.0,6.482465462274166,29.75557917109449,6.161137440758256,0.1851851851852141,57.41563274068788,1.151,47.4,94.09010753356283,513.5,49.0,90.9%
SB40578,56.0,5.614035087719093,30.64327485380121,6.376518218623367,0.1992031872510271,57.16696865260531,1.215,38.6,95.95117335202144,506.0,50.0,90.9%
SB40575,47.0,6.421052631578934,29.99999999999998,6.931702344546512,0.1974333662388551,56.44981165763572,1.149,37.6,89.51431150902444,518.0,50.0,90.9%
SB40572,63.0,5.588585017835774,30.08323424494653,7.056798623063731,0.1968503937007483,57.07453172045322,1.149,44.0,96.60062376805496,523.5,52.0,90.9%
SB40570,56.0,5.561497326203163,29.73262032085565,7.601184600197591,0.1862197392923941,56.9184780134512,1.148,40.3,81.70446174892139,506.0,50.0,100.0%
SB40568,58.0,5.522088353413801,30.12048192771073,7.238095238095283,0.1886792452829814,56.93065523549721,1.155,42.4,89.91747459551321,509.0,50.0,100.0%
SB40567,62.0,5.482456140350961,31.24999999999986,7.321965897693119,0.1923076923077223,55.75327026964834,1.148,35.7,81.44794063911712,515.0,50.0,90.9%
SB 40560,53.0,4.700352526439378,30.55229142185658,7.372072853425619,0.1974333662389252,57.17784983203949,1.148,39.4,92.30361377638852,504.5,51.0,100.0%
SB40557,57.0,5.230125523012629,29.18410041841005,6.709558823529465,0.1862197392923941,58.68999549575546,1.152,37.7,86.91824352019727,475.0,50.0,90.9%
SB40554,65.0,5.498981670061131,29.63340122199599,7.85046728971959,0.1966568338250061,56.82049298439829,1.151,43.4,82.91666666666667,519.5,51.0,90.9%
SB40550,58.0,5.17063081695974,29.98965873836597,7.255244755244915,0.1978239366963711,57.386641752733,1.15,42.5,85.27865362902254,491.0,51.0,100.0%
SB40547,40.0,5.312500000000021,30.72916666666669,6.660666066606503,0.1974333662389252,57.10023390048786,1.154,35.1,87.89257756898311,503.0,51.0,90.9%
SB40537,49.0,5.566406249999869,30.27343750000007,7.129455909943413,0.09765624999998054,56.93304409005666,1.145,36.5,87.84673807609587,503.0,51.0,90.9%
SB40534,54.0,5.118110236220433,30.2165354330709,6.546489563567598,0.09871668311949766,58.02014808402157,1.144,41.8,88.23075595545362,501.5,51.0,100.0%
SB40422,57.0,4.751619870410419,30.88552915766734,7.403751233958483,0.1978239366963711,56.76127580126739,1.14,42.0,97.07251792392447,519.0,52.0,100.0%
SB40520,56.0,4.512067156348476,31.5844700944386,7.601184600197268,0.1858736059479844,56.11640454306768,1.15,41.1,90.36367579617496,504.5,51.0,100.0%
SB40517,61.0,4.713804713804693,30.86419753086424,7.706422018348591,0.1923076923077223,56.52326804467476,1.14,40.8,86.36241723542874,509.0,52.0,90.9%
SB40505,59.0,5.368421052631599,29.99999999999985,7.720930232557996,0.1974333662389252,56.71321534857163,1.144,43.5,87.411954459807,507.5,50.0,100.0%
SB40494,51.0,5.445544554455506,30.19801980198018,7.350096711798552,0.09900990099007932,56.90732903077569,1.144,38.6,80.86580265701419,501.0,49.0,100.0%
SB40492,62.0,5.158264947245076,31.18405627198125,7.065217391304116,0.2000000000000313,56.39246138946952,1.151,40.0,97.05005654379852,492.0,49.0,90.9%
SB40481,74.0,5.117270788912581,32.19616204690844,7.509157509157586,0.1923076923077223,54.98510196271367,1.148,32.6,80.55790227410603,503.0,49.0,90.9%
SB40478,51.0,5.506883604505684,29.91239048811019,6.602112676056279,0.2961500493583527,57.6824631819695,1.151,41.8,82.28741496598639,494.0,50.0,100.0%
SB40465,59.0,5.131128848346624,30.55872291904224,7.996051332675161,0.1862197392923941,56.12787716064358,1.152,43.9,73.59596684202137,522.0,51.0,90.9%
SB40463,56.0,5.720338983050871,29.55508474576268,7.00483091787437,0.1978239366963711,57.5219214166157,1.148,43.7,77.80399552507876,488.5,49.0,100.0%
SB7585,86.0,6.879361914257311,30.40877367896308,6.854460093896432,0.1970443349754002,55.66035997790777,1.16,32.5,63.35948032327438,509.0,48.0,81.8%
SB40443,60.0,5.180840664711715,30.40078201368524,7.099999999999795,0.198609731876893,57.11976758972636,1.151,37.2,86.44580030081059,515.0,51.0,100.0%
SB40440,60.0,5.703048180924263,30.77679449360868,7.346189164371138,0.1974333662388552,55.97653479485707,1.15,42.1,89.64003515609019,510.5,52.0,100.0%
SB40436,50.0,5.408062930186964,29.89183874139608,7.900207900207941,0.09900990099007932,56.70088052721894,1.152,36.5,85.24764693368292,484.5,51.0,100.0%
SB40427,69.0,5.577689243027807,30.37848605577688,7.718120805369022,0.1978239366963711,56.12787995912992,1.149,43.8,80.05885374787815,496.5,52.0,90.9%
SB40420,54.0,5.242718446601971,29.90291262135923,7.403751233958483,0.1771479185119851,57.27346977956834,1.15,37.1,82.47416540099468,532.5,51.0,100.0%
SB40416,68.0,4.743083003952571,29.8418972332017,7.115749525616641,0.1846722068328349,58.11459803039625,1.151,41.1,80.4651361888204,522.5,51.0,90.9%
SB40405,53.0,6.762295081967111,31.7622950819673,8.099999999999952,0.1966568338250061,53.17875300224064,1.152,38.4,82.98157883000249,525.5,52.0,100.0%
SB40402,60.0,5.024154589372113,30.24154589371969,7.209737827715509,0.1771479185119851,57.3474137706807,1.151,35.4,92.1168480900824,509.0,51.0,100.0%
SB40396,56.0,5.268595041322331,30.57851239669415,7.403751233958483,0.19607843137251,56.55306289665253,1.15,34.3,84.9297837223046,504.5,50.0,100.0%
SB40391,60.0,5.18072289156639,30.9638554216867,7.789855072463936,0.1862197392923941,55.87934687499057,1.149,35.8,84.39170588046993,494.0,51.0,100.0%
SB40389,56.0,5.797101449275317,28.98550724637678,7.274490785645265,0.198609731876893,57.74429078682575,1.15,33.8,84.96778249253497,503.0,51.0,100.0%
SB40387,60.0,6.088992974238835,28.92271662763467,6.631016042780857,0.1846722068328349,58.1726021485128,.1.149,35.0,84.56922095699274,519.5,51.0,90.9%
SB40385,50.0,5.275779376498861,31.17505995203857,7.284768211920367,0.1888574126534091,56.07553504688879,1.149,34.2,84.37844593963182,515.0,50.0,100.0%
SB40383,59.0,4.540654699049557,30.83421330517424,7.515657620041679,0.09930486593841123,57.01016950979611,1.152,46.1,83.13926258267833,503.0,51.0,90.9%
SB40381,67.0,5.613305613305632,30.35343035343028,7.706422018348591,0.1923076923077223,56.13453432260777,1.15,40.2,80.67361572420012,506.0,50.0,90.9%
SB40379,50.0,6.097560975609807,29.77642276422756,7.706422018348591,0.1853568118628649,56.23423742995117,1.155,36.3,75.59201265596614,542.5,52.0,100.0%
SB40376,65.0,5.226130653266296,31.0552763819095,7.246376811594053,0.1974333662389252,56.27478278699122,1.151,43.0,80.89406096759038,515.0,50.0,90.9%
SB40364,60.0,5.162523900573634,31.35755258126186,6.49224806201552,0.1913875598086424,56.79628789634035,1.151,31.9,86.4035486646546,507.5,51.0,100.0%
SB40362,65.0,5.247225025227005,31.48335015136221,6.795131845841798,0.1962708537781749,56.27802212379082,1.148,33.8,86.8327227722155,509.0,51.0,90.9%
SB40359,49.0,5.544354838709823,30.6451612903224,8.151093439363889,0.1966568338250061,55.46273359777889,1.151,33.9,86.42598437811203,510.0,50.0,90.9%
SB40357,69.0,5.23665659617317,31.21852970795573,6.250000000000037,0.1966568338250061,57.09815686204606,1.151,37.0,79.1525230963046,509.0,50.0,90.9%
SB40356,68.0,5.711422845691414,30.96192384769546,7.177974434611646,0.09910802775029845,56.04957084425118,1.153,38.1,87.1470586547044,509.0,51.0,90.9%
SB40354,59.0,5.765199161425543,31.34171907756825,7.43243243243259,0.1862197392923941,55.27442958928122,1.152,32.9,79.8299346317639,522.5,51.0,100.0%
SB40351,64.0,5.467196819085467,32.30616302186877,7.527801539777386,0.1857010213556465,54.51313759791273,1.149,38.9,86.48692311697225,515.0,51.0,90.9%
SB40350,65.0,6.563245823388994,30.07159904534596,6.851851851851991,0.09803921568625501,56.4152640637268,1.152,38.6,84.19906358746262,516.5,51.0,90.9%
SB40348,53.0,5.875952121871626,31.0119695321001,7.193605683836561,0.1846722068328349,55.73380045535887,1.151,36.0,84.91985278404074,509.0,51.0,100.0%
SB40345,70.0,6.365503080082072,28.64476386036959,8.037578288100033,0.1888574126534091,56.76329735879489,1.151,35.0,84.15432075920417,507.5,50.0,90.9%
SB40344,66.0,7.078651685393138,29.21348314606744,7.547169811320662,0.1966568338250061,55.96403852339376,1.152,37.2,80.60138386337147,509.0,51.0,81.8%
SB40337,52.0,4.978813559322093,30.61440677966096,7.590467784642707,0.198609731876893,56.61770214449735,1.149,41.6,91.31727149621514,518.0,51.0,100.0%
SB40333,48.0,5.02008032128521,29.61847389558231,7.548845470692784,0.1956947162426921,57.61690559619701,1.143,43.1,79.32807311538656,492.5,50.0,90.9%
SB40321,56.0,5.301455301455309,30.87318087318088,8.75984251968524,0.09746588693955174,54.96805541873902,1.152,38.7,82.01186068833128,501.5,51.0,100.0%
SB40318,58.0,4.801920768307433,29.89195678271293,7.848837209302307,0.1913875598086424,57.26589767986869,1.15,37.8,88.88805917075598,499.0,50.0,100.0%
SB40314,54.0,4.716073147257093,30.99133782483145,8.385744234800654,0.1886792452829814,55.71816554782782,1.149,43.0,88.8635569531796,512.0,51.0,100.0%
SB40311,63.0,6.249999999999989,30.12295081967234,8.015640273704864,0.09765624999998054,55.51375265662283,1.154,41.6,75.57869032481796,515.0,52.0,90.9%
SB40307,74.0,6.311637080867849,30.07889546351079,7.094918504314614,0.1988071570576851,56.31574179424906,1.15,53.1,88.49474474474476,494.0,50.0,81.8%
SB40304,53.0,5.828220858895746,30.47034764826177,6.907894736841985,0.1958863858962109,56.59765037010428,1.15,39.6,80.23806731886,547.5,52.0,100.0%
SB40301,69.0,5.567010309278374,30.10309278350512,7.635694572217294,0.09891196834815041,56.59529036665106,1.152,45.6,90.01535003071051,516.5,51.0,81.8%
SB40290,43.0,5.20117762512275,30.02944062806664,6.285714285714519,0.198609731876893,58.2850577292192,1.153,42.9,92.39197645520528,509.0,51.0,90.9%
